categoryDmd	vectorization	space-transf	classifier	acc	balanced-acc	err-0	err-1	f1-0	f1-1	f1-macro-avg	nb0	nb1
acpa	RF*TF	None	OurGiniPLS	0.47619047619047616	0.39375	0.4625	0.75	0.5734126984126985	0.14285714285714288	0.3581349206349207	17	6
acpa	RF*LOGTF	None	OurGiniPLS	0.47619047619047616	0.39375	0.4625	0.75	0.5734126984126985	0.14285714285714288	0.3581349206349207	17	6
acpa	RF*ATF	None	OurGiniPLS	0.5785714285714286	0.50625	0.3625	0.625	0.6761904761904763	0.375	0.5255952380952381	17	6
acpa	RF*LOGAVE	None	OurGiniPLS	0.41547619047619044	0.325	0.475	0.875	0.5150793650793651	0.16666666666666666	0.3408730158730159	17	6
acpa	RF*AVERAGELocals	None	OurGiniPLS	0.4654761904761905	0.35625	0.4125	0.875	0.5597222222222222	0.16666666666666666	0.36319444444444443	17	6
acpa	AVERAGEGlobals*TP	None	OurGiniPLS	0.6369047619047619	0.6	0.3	0.5	0.7097222222222223	0.3916666666666666	0.5506944444444445	17	6
acpa	AVERAGEGlobals*TF	None	OurGiniPLS	0.6011904761904763	0.51875	0.3375	0.625	0.6706349206349207	0.30952380952380953	0.4900793650793651	17	6
acpa	AVERAGEGlobals*LOGTF	None	OurGiniPLS	0.6011904761904763	0.51875	0.3375	0.625	0.6706349206349207	0.30952380952380953	0.4900793650793651	17	6
acpa	AVERAGEGlobals*ATF	None	OurGiniPLS	0.6369047619047619	0.6	0.3	0.5	0.7097222222222223	0.3916666666666666	0.5506944444444445	17	6
acpa	AVERAGEGlobals*LOGAVE	None	OurGiniPLS	0.6369047619047619	0.6	0.3	0.5	0.7097222222222223	0.3916666666666666	0.5506944444444445	17	6
acpa	AVERAGEGlobals*AVERAGELocals	None	OurGiniPLS	0.6369047619047619	0.6	0.3	0.5	0.7097222222222223	0.3916666666666666	0.5506944444444445	17	6
